ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_paths
baseline,0.01,narrow,50000,1686.8241875203657,9.430598887183123,0.89,0.0,18.0561797752809,0.983664122824665,0.8102,"[1677.3935886331826, 1696.2547864075489]","[0.89, 0.89]","[18.04494382022472, 18.06741573033708]"
baseline,0.01,wide,50000,493.5313314187118,34.400830288487384,0.22,0.010000000000000009,18.043478260869563,0.7342637160477111,0.6156999999999999,"[527.9321617071992, 459.1305011302244]","[0.23, 0.21]","[18.08695652173913, 18.0]"
baseline,0.01,narrow,100000,1583.446012545388,33.474327796610964,0.745,0.07499999999999996,18.147797597378958,0.9430672202259578,0.7761499999999999,"[1549.9716847487769, 1616.9203403419988]","[0.67, 0.82]","[18.149253731343283, 18.146341463414632]"
baseline,0.01,wide,100000,803.2104229990832,101.20598608199009,0.41500000000000004,0.014999999999999986,18.42906976744186,0.8539279171389417,0.65985,"[904.4164090810733, 702.0044369170931]","[0.43, 0.4]","[18.558139534883722, 18.3]"
baseline,0.01,narrow,200000,1616.2762687274826,23.785292435492465,0.8200000000000001,0.04999999999999999,18.051948051948052,0.9809628847557017,0.8300500000000002,"[1592.4909762919901, 1640.061561162975]","[0.77, 0.87]","[18.103896103896105, 18.0]"
baseline,0.01,wide,200000,1171.9458072245309,23.745790414378916,0.63,0.12,18.177254901960783,0.9444221178922232,0.7057999999999999,"[1148.200016810152, 1195.6915976389098]","[0.51, 0.75]","[18.274509803921568, 18.08]"
baseline,0.01,narrow,500000,1659.2181535354352,31.676979468814352,0.935,0.024999999999999967,18.032394688644686,0.990391683476679,0.8481500000000002,"[1690.8951330042496, 1627.541174066621]","[0.96, 0.91]","[18.020833333333332, 18.043956043956044]"
baseline,0.01,wide,500000,1397.3385109694382,41.68205837747371,0.685,0.014999999999999958,18.087633262260127,0.9610288457435333,0.7309500000000001,"[1439.020569346912, 1355.6564525919646]","[0.67, 0.7]","[18.08955223880597, 18.085714285714285]"
baseline,0.01,narrow,1000000,1527.0100922074553,11.837923943976875,0.75,0.020000000000000018,18.0,0.9768820263467263,0.8317000000000001,"[1538.8480161514321, 1515.1721682634784]","[0.73, 0.77]","[18.0, 18.0]"
baseline,0.01,wide,1000000,1431.4959752730222,29.880961746136336,0.73,0.020000000000000018,18.136338028169014,0.964760897384471,0.7266,"[1401.6150135268858, 1461.3769370191585]","[0.71, 0.75]","[18.112676056338028, 18.16]"
baseline,0.05,narrow,50000,1484.4190907157206,56.081534174375975,0.765,0.0050000000000000044,18.14354066985646,0.9544810025149794,0.76625,"[1428.3375565413446, 1540.5006248900966]","[0.76, 0.77]","[18.105263157894736, 18.181818181818183]"
