ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_path
baseline,0.01,narrow,50000,369.622256843144,67.34758532534656,0.405,0.07499999999999998,21.05681818181818,0.405,0.6508,"[302.27467151779746, 436.9698421684906]","[0.33, 0.48]","[21.696969696969695, 20.416666666666668]"
baseline,0.01,wide,50000,238.69549093876307,16.180673489817735,0.07,0.030000000000000002,21.55,0.07,0.5393999999999999,"[222.51481744894534, 254.8761644285808]","[0.04, 0.1]","[22.5, 20.6]"
baseline,0.01,narrow,100000,500.8858199927988,42.76664181196267,0.6499999999999999,0.07,21.183429118773944,0.6499999999999999,0.7105999999999999,"[458.1191781808362, 543.6524618047615]","[0.58, 0.72]","[21.17241379310345, 21.194444444444443]"
baseline,0.01,wide,100000,295.6579816117644,10.837118921179837,0.16,0.04000000000000001,21.916666666666664,0.16,0.5664500000000001,"[284.82086269058453, 306.4951005329442]","[0.12, 0.2]","[22.333333333333332, 21.5]"
baseline,0.01,narrow,200000,519.5189119995257,29.95305377249869,0.6100000000000001,0.04999999999999999,20.48160173160173,0.6100000000000001,0.7243999999999999,"[489.56585822702704, 549.4719657720244]","[0.56, 0.66]","[20.357142857142858, 20.606060606060606]"
baseline,0.01,wide,200000,418.9173397430187,8.84448293853464,0.325,0.0050000000000000044,22.176136363636363,0.325,0.6217,"[410.0728568044841, 427.7618226815534]","[0.32, 0.33]","[21.625, 22.727272727272727]"
baseline,0.01,narrow,500000,466.7015883191368,3.2985671997343218,0.56,0.009999999999999953,19.914194577352472,0.56,0.7133,"[463.4030211194025, 470.00015551887117]","[0.57, 0.55]","[19.719298245614034, 20.10909090909091]"
baseline,0.01,wide,500000,550.3022962312605,15.289946263130275,0.7050000000000001,0.034999999999999976,20.82694634933441,0.7050000000000001,0.6829999999999999,"[565.5922424943907, 535.0123499681301]","[0.74, 0.67]","[21.027027027027028, 20.62686567164179]"
baseline,0.01,narrow,1000000,522.0757418292828,52.093745426334976,0.645,0.065,19.29358912093249,0.645,0.73365,"[574.1694872556178, 469.98199640294786]","[0.71, 0.58]","[19.380281690140844, 19.20689655172414]"
baseline,0.01,wide,1000000,561.1054507579053,14.417575033405228,0.7150000000000001,0.034999999999999976,20.71941176470588,0.7150000000000001,0.6937,"[575.5230257913105, 546.6878757245]","[0.75, 0.68]","[20.88, 20.558823529411764]"
baseline,0.05,narrow,50000,299.65591176539317,17.16605502081208,0.235,0.0049999999999999906,21.177536231884055,0.235,0.5962000000000001,"[282.48985674458106, 316.8219667862052]","[0.23, 0.24]","[20.52173913043478, 21.833333333333332]"
baseline,0.05,wide,50000,235.59662276836363,4.722762252512041,0.075,0.015,20.27777777777778,0.075,0.5352999999999999,"[230.8738605158516, 240.31938502087567]","[0.06, 0.09]","[19.666666666666668, 20.88888888888889]"
baseline,0.05,narrow,100000,420.22290770127825,16.924443673842234,0.445,0.015000000000000013,21.049039433771487,0.445,0.6624500000000001,"[403.298464027436, 437.1473513751205]","[0.43, 0.46]","[20.837209302325583, 21.26086956521739]"
baseline,0.05,wide,100000,272.86394932864687,2.4565965071180926,0.135,0.015,21.683333333333334,0.135,0.5528,"[270.4073528215288, 275.32054583576496]","[0.12, 0.15]","[22.166666666666668, 21.2]"
baseline,0.05,narrow,200000,392.91012405720505,26.694769398068928,0.44499999999999995,0.035,20.1255081300813,0.44499999999999995,0.6673499999999999,"[419.604893455274, 366.21535465913615]","[0.48, 0.41]","[19.958333333333332, 20.29268292682927]"
baseline,0.05,wide,200000,357.24262704218904,17.223808174297318,0.255,0.03499999999999999,21.757053291536053,0.255,0.5967,"[340.0188188678917, 374.46643521648633]","[0.22, 0.29]","[22.272727272727273, 21.24137931034483]"
baseline,0.05,narrow,500000,395.71663653880984,2.587923320565608,0.435,0.05499999999999999,21.53222341568206,0.435,0.6670500000000001,"[393.12871321824423, 398.30455985937544]","[0.38, 0.49]","[21.105263157894736, 21.959183673469386]"
baseline,0.05,wide,500000,465.8970057195455,2.8605733435336163,0.485,0.0050000000000000044,21.34608843537415,0.485,0.64375,"[468.75757906307916, 463.03643237601193]","[0.49, 0.48]","[20.775510204081634, 21.916666666666668]"
baseline,0.05,narrow,1000000,401.72502351848,0.5451656502548303,0.45,0.010000000000000009,21.484189723320156,0.45,0.6572,"[401.17985786822516, 402.2701891687348]","[0.46, 0.44]","[20.695652173913043, 22.272727272727273]"
baseline,0.05,wide,1000000,467.0097657281082,24.361832143271215,0.47,0.01999999999999999,20.987755102040815,0.47,0.64655,"[491.37159787137944, 442.647933584837]","[0.49, 0.45]","[20.775510204081634, 21.2]"
no_sequential,0.01,narrow,50000,396.5381384521015,91.95893289874968,0.41,0.2,21.137392661982826,0.41,0.6617000000000001,"[304.57920555335187, 488.49707135085123]","[0.21, 0.61]","[21.61904761904762, 20.65573770491803]"
no_sequential,0.01,wide,50000,252.6904696608283,12.079968065347174,0.08,0.04,20.25,0.08,0.53715,"[264.7704377261755, 240.61050159548114]","[0.12, 0.04]","[21.0, 19.5]"
no_sequential,0.01,narrow,100000,526.7368727530088,64.1239397447209,0.65,0.15000000000000002,19.92,0.65,0.7345999999999999,"[462.61293300828794, 590.8608124977297]","[0.5, 0.8]","[20.24, 19.6]"
no_sequential,0.01,wide,100000,308.4925982544943,6.979306405804408,0.14,0.030000000000000006,20.93582887700535,0.14,0.56345,"[301.51329184868985, 315.47190466029866]","[0.11, 0.17]","[19.636363636363637, 22.235294117647058]"
no_sequential,0.01,narrow,200000,558.7911326903497,13.320073501782474,0.71,0.010000000000000009,19.82857142857143,0.71,0.7555000000000001,"[572.1112061921322, 545.4710591885672]","[0.7, 0.72]","[19.65714285714286, 20.0]"
no_sequential,0.01,wide,200000,430.86298030801254,10.234458770328985,0.395,0.024999999999999994,20.8989703989704,0.395,0.62385,"[420.6285215376836, 441.09743907834155]","[0.42, 0.37]","[21.095238095238095, 20.7027027027027]"
no_sequential,0.01,narrow,500000,530.5709355302503,3.1337707909259507,0.63,0.030000000000000027,19.384848484848483,0.63,0.7334,"[527.4371647393243, 533.7047063211762]","[0.66, 0.6]","[19.636363636363637, 19.133333333333333]"
no_sequential,0.01,wide,500000,547.9241319987239,12.786863631871881,0.7150000000000001,0.04499999999999999,21.157698350353495,0.7150000000000001,0.68055,"[535.137268366852, 560.7109956305958]","[0.67, 0.76]","[21.55223880597015, 20.763157894736842]"
no_sequential,0.01,narrow,1000000,525.3039579057735,14.153148294595468,0.565,0.04499999999999999,20.098991172761664,0.565,0.7286000000000001,"[511.150809611178, 539.4571062003689]","[0.52, 0.61]","[20.23076923076923, 19.9672131147541]"
no_sequential,0.01,wide,1000000,560.0940700518195,4.254593392433492,0.7,0.010000000000000009,20.35252092263727,0.7,0.6874000000000002,"[564.348663444253, 555.839476659386]","[0.69, 0.71]","[20.028985507246375, 20.676056338028168]"
no_sequential,0.05,narrow,50000,296.4969395476711,34.963414069213826,0.215,0.035,21.846666666666664,0.215,0.5941000000000001,"[331.4603536168849, 261.53352547845725]","[0.25, 0.18]","[23.36, 20.333333333333332]"
no_sequential,0.05,wide,50000,266.56388831627623,13.865650697219948,0.07,0.030000000000000002,24.3,0.07,0.5313,"[252.6982376190563, 280.4295390134962]","[0.04, 0.1]","[24.0, 24.6]"
no_sequential,0.05,narrow,100000,409.291328869297,19.758627223738017,0.445,0.065,21.507739938080498,0.445,0.66465,"[389.532701645559, 429.049956093035]","[0.38, 0.51]","[21.36842105263158, 21.647058823529413]"
no_sequential,0.05,wide,100000,285.93926421503517,3.9082724731863436,0.08499999999999999,0.025,22.727272727272727,0.08499999999999999,0.55055,"[282.0309917418488, 289.8475366882215]","[0.11, 0.06]","[21.454545454545453, 24.0]"
no_sequential,0.05,narrow,200000,403.1974306585857,30.320995531579854,0.42000000000000004,0.04000000000000001,21.61441647597254,0.42000000000000004,0.6556500000000001,"[372.87643512700583, 433.51842619016554]","[0.38, 0.46]","[22.31578947368421, 20.91304347826087]"
no_sequential,0.05,wide,200000,374.07919470903624,5.119172753323937,0.22999999999999998,0.009999999999999995,22.46212121212121,0.22999999999999998,0.5922499999999999,"[368.9600219557123, 379.1983674623602]","[0.24, 0.22]","[23.833333333333332, 21.09090909090909]"
