representation,training_steps,avg_reward,std_reward,success_rate,std_success,seed_rewards,seed_success
narrow,50000,424.87553152655755,35.97390295156788,0.48760000000000003,0.06932128100374371,"[437.03473123025697, 353.63204832861186, 466.3624011249863, 387.4385828004421, 435.55387151744833, 402.695034148617, 438.5097999094867, 438.8253723127929, 406.6031374706645, 482.1003364222688]","[0.526, 0.362, 0.566, 0.438, 0.494, 0.436, 0.5, 0.54, 0.418, 0.596]"
wide,50000,254.4787745023138,9.324629099919711,0.0974,0.022575207640241096,"[250.74025533697474, 253.06893767852833, 253.13451726084028, 241.4127042958499, 254.4445617386357, 255.0607102484921, 251.37220399052143, 245.2943613423893, 263.1747556698896, 277.08473746101663]","[0.068, 0.112, 0.082, 0.076, 0.104, 0.116, 0.09, 0.068, 0.126, 0.132]"
narrow,100000,484.2350119661252,30.656046685804057,0.5824,0.0638798872885668,"[468.82824938380674, 480.94251512646525, 475.5120839732245, 470.7266616814183, 445.3723287475996, 454.1213543897401, 537.9202587470118, 483.780822416852, 481.063945879991, 544.0818993151426]","[0.578, 0.532, 0.61, 0.538, 0.476, 0.542, 0.692, 0.596, 0.576, 0.684]"
wide,100000,325.5257197029249,11.751637410539944,0.2012,0.024563387388550465,"[304.2658872371828, 309.789645176899, 324.4149097796348, 335.14377001519665, 315.8021469892567, 335.45895459769264, 342.4341054529315, 322.7118571794523, 332.4830461047788, 332.7528744962236]","[0.154, 0.18, 0.2, 0.198, 0.184, 0.228, 0.238, 0.196, 0.202, 0.232]"
narrow,200000,451.03352437679314,30.086721827823325,0.5232,0.05928372457934808,"[411.38341273244293, 501.31960981611246, 433.97156338897094, 412.6340815994828, 457.76811033537143, 435.6358196107914, 468.6504356554812, 500.7395303807756, 447.7548433150965, 440.477836933406]","[0.444, 0.614, 0.5, 0.452, 0.524, 0.494, 0.56, 0.63, 0.528, 0.486]"
wide,200000,441.7884438324307,18.022112300397474,0.4312,0.03852479720907042,"[404.5950265484081, 441.857061617333, 467.6317594808133, 446.6098165399882, 444.59603450823136, 434.3772857913278, 460.8007219384946, 418.00981524242496, 455.1115581457288, 444.2953585115566]","[0.376, 0.42, 0.462, 0.43, 0.462, 0.402, 0.492, 0.372, 0.472, 0.424]"
narrow,500000,433.6104168147631,33.959352455326815,0.4812,0.054230618657728775,"[430.2494313033607, 454.7844569657916, 370.10364495884335, 454.65607613486935, 394.6813716002679, 405.39456774009113, 459.5608450415468, 421.07506711463094, 458.9609977637484, 486.6377095244808]","[0.482, 0.516, 0.384, 0.526, 0.4, 0.436, 0.51, 0.476, 0.548, 0.534]"
wide,500000,484.5469338994388,17.574421960044603,0.5614,0.049079934800282686,"[486.03828207138713, 469.62409564870325, 490.9278775937954, 511.25577036157426, 465.25310716740404, 500.6886889267031, 502.1243060445491, 472.38189414544706, 453.8438263031525, 493.33149073167124]","[0.548, 0.508, 0.57, 0.64, 0.518, 0.612, 0.608, 0.518, 0.492, 0.6]"
narrow,750000,443.25347547164256,16.565729689953894,0.48979999999999996,0.040263631232167835,"[430.24203060729695, 445.327116526449, 448.10053268681355, 448.02597477721355, 455.45553896235623, 417.84552874054236, 434.019895491599, 455.3609571604723, 475.81991992782474, 422.33725983585754]","[0.408, 0.498, 0.532, 0.494, 0.518, 0.426, 0.49, 0.532, 0.52, 0.48]"
wide,750000,485.77543272446957,18.03746422918942,0.549,0.031663859524701014,"[486.3248869068831, 449.4366898356985, 479.4466583278591, 512.6192283137636, 507.6269975878658, 490.2495319700426, 472.16874761571034, 503.69204047915656, 483.1153332328187, 473.07421297489714]","[0.508, 0.486, 0.532, 0.554, 0.598, 0.56, 0.54, 0.576, 0.566, 0.57]"
narrow,1000000,438.80304845481425,28.01721522337225,0.4756,0.05294374372860311,"[444.2749136860525, 459.306516714137, 408.74077295417453, 473.2918523493132, 434.779722415885, 474.323178863716, 413.65702849751443, 462.4540810410818, 431.09820077331756, 386.1042172529501]","[0.486, 0.484, 0.438, 0.55, 0.418, 0.534, 0.45, 0.55, 0.458, 0.388]"
wide,1000000,489.8879645253538,12.070339656275628,0.5772,0.025926048676958066,"[483.4647765219302, 489.1026593567615, 485.88785760108425, 479.5403559830989, 482.80954618282215, 520.6709666768542, 491.02555671168466, 475.3644102651383, 492.43133636657456, 498.5821795875902]","[0.536, 0.552, 0.584, 0.566, 0.586, 0.594, 0.572, 0.552, 0.628, 0.602]"
